parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;50;Memenuhi
2;365;;87;Memenuhi
3;10.000;;1.822;Memenuhi
4;2;;0.1;Memenuhi
5;24;<;10;Memenuhi
6;235;;31;Memenuhi
7;160;;18;Memenuhi
8;2;;0.1;Memenuhi
9;230;;112;Memenuhi
10;60;;73.7;Tidak Memenuhi
11;-;;37.3;Memenuhi
12;-;;2.8;Memenuhi
13;-;;42.1;Memenuhi
14;-;;;
15;-;;;
