parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;42,08;Memenuhi
2;365;;39,87;Memenuhi
3;10000;;2890;Memenuhi
4;2;;0,05;Memenuhi
5;24;;1,38;Memenuhi
6;235;;53,17;Memenuhi
7;160;;122,62;Memenuhi
8;2;;0,2;Memenuhi
9;230;;201,34;Memenuhi
10;60;;70,4;Tidak Memenuhi
11;;;33,5;Memenuhi
12;;;0,9;Memenuhi
13;;;53,8;Memenuhi
14;;;Timur;Memenuhi
15;;;Cerah;Memenuhi
