parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;41,28;Memenuhi
2;365;;35,89;Memenuhi
3;10000;;3642;Memenuhi
4;2;;0,058;Memenuhi
5;24;;1,56;Memenuhi
6;235;;46,76;Memenuhi
7;160;;112,32;Memenuhi
8;2;<;0,2;Memenuhi
9;230;;156,18;Memenuhi
10;60;;73;Tidak Memenuhi
11;;;35,7;Memenuhi
12;;;1,6;Memenuhi
13;;;44,6;Memenuhi
14;;;Utara;Memenuhi
15;;;Cerah;Memenuhi
