parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;99;Memenuhi
2;365;;40;Memenuhi
3;10.000;;2.830;Memenuhi
4;2;;0.1;Memenuhi
5;24;;1;Memenuhi
6;235;;38;Memenuhi
7;160;;18;Memenuhi
8;2;<;0,01;Memenuhi
9;230;;84;Memenuhi
10;;;;
11;;;;
12;;;;
13;;;;
14;;;;
15;;;;
