parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;55;Memenuhi
2;365;;97;Memenuhi
3;10.000;;2.433;Memenuhi
4;2;;0.2;Memenuhi
5;24;<;10;Memenuhi
6;235;;70;Memenuhi
7;160;;24;Memenuhi
8;2;;0.1;Memenuhi
9;230;;149;Memenuhi
10;60;;74.8;Tidak Memenuhi
11;-;;29.2;Memenuhi
12;-;;0.7;Memenuhi
13;-;;59.8;Memenuhi
14;-;;;
15;-;;;
