lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan
30;2013;1;150;;42;Memenuhi
30;2013;2;365;;84;Memenuhi
30;2013;3;10.000;;1.356;Memenuhi
30;2013;4;2;;0.2;Memenuhi
30;2013;5;24;<;10;Memenuhi
30;2013;6;235;;46;Memenuhi
30;2013;7;160;;24;Memenuhi
30;2013;8;2;;0.1;Memenuhi
30;2013;9;230;;127;Memenuhi
30;2013;10;60;;68,3;Tidak Memenuhi
30;2013;11;-;;36,5;Memenuhi
30;2013;12;-;;1,9;Memenuhi
30;2013;13;-;;43,2;Memenuhi
30;2013;14;-;;;
30;2013;15;-;;;
