parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;98;Memenuhi
2;365;;25;Memenuhi
3;10.000;;2.278;Memenuhi
4;2;;0.1;Memenuhi
5;24;;1;Memenuhi
6;235;;55;Memenuhi
7;160;;17;Memenuhi
8;2;< ;0,01;Memenuhi
9;230;;105;Memenuhi
10;;;;
11;;;;
12;;;;
13;;;;
14;;;;
15;;;;
