parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;124;Memenuhi
2;365;;91;Memenuhi
3;10.000;;1.702;Memenuhi
4;2;;0.1;Memenuhi
5;24;<;10;Memenuhi
6;235;;17;Memenuhi
7;160;;27;Memenuhi
8;2;;0.01;Memenuhi
9;230;;127;Memenuhi
10;60;;71.1;Tidak Memenuhi
11;-;;36;Memenuhi
12;-;;3.7;Memenuhi
13;-;;43.7;Memenuhi
14;-;;;
15;-;;;
