parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;84;Memenuhi
2;365;;98;Memenuhi
3;10.000;;1.338;Memenuhi
4;2;;0.1;Memenuhi
5;24;<;10;Memenuhi
6;235;;4;Memenuhi
7;160;;28;Memenuhi
8;2;;0.2;Memenuhi
9;230;;159;Memenuhi
10;60;;66,6;Tidak Memenuhi
11;-;;32,5;Memenuhi
12;-;;1,1;Memenuhi
13;-;;52,3;Memenuhi
14;-;;;
15;-;;;
