parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;45;Memenuhi
2;365;;64;Memenuhi
3;10.000;;3.141;Memenuhi
4;2;;0.2;Memenuhi
5;24;<;10;Memenuhi
6;235;;32;Memenuhi
7;160;;20;Memenuhi
8;2;;0.1;Memenuhi
9;230;;160;Memenuhi
10;60;;70.1;Tidak Memenuhi
11;-;;33.7;Memenuhi
12;-;;1.4;Memenuhi
13;-;;48.6;Memenuhi
14;-;;;
15;-;;;
