parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;47;Memenuhi
2;365;;93;Memenuhi
3;10.000;;1.342;Memenuhi
4;2;;0.2;Memenuhi
5;24;<;10;Memenuhi
6;235;;26;Memenuhi
7;160;;18;Memenuhi
8;2;;0.01;Memenuhi
9;230;;107;Memenuhi
10;60;;71.2;Tidak Memenuhi
11;-;;31.1;Memenuhi
12;-;;0.9;Memenuhi
13;-;;54.3;Memenuhi
14;-;;;
15;-;;;
