parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;114;Memenuhi
2;365;;37;Memenuhi
3;10.000;;2.020;Memenuhi
4;2;;0.1;Memenuhi
5;24;;1;Memenuhi
6;235;;51;Memenuhi
7;160;;20;Memenuhi
8;2;;0.05;Memenuhi
9;230;;112;Memenuhi
10;60;;;
11;-;;;
12;-;;;
13;-;;;
14;-;;;
15;-;;;
