parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;96;Memenuhi
2;365;;2.454;Memenuhi
3;10.000;<;0.01;Memenuhi
4;2;<;10;Memenuhi
5;24;;12;Memenuhi
6;235;;30;Memenuhi
7;160;;0.1;Memenuhi
8;2;;146;Memenuhi
9;230;;73.1;Memenuhi
10;60;;35.1;Tidak Memenuhi
11;-;;3.4;Memenuhi
12;-;;45.6;Memenuhi
13;-;;55.6;Memenuhi
14;-;;;
15;-;;;
