parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;57,78;Memenuhi
2;365;;51,04;Memenuhi
3;10000;;4230;Memenuhi
4;2;;0,061;Memenuhi
5;24;;1,47;Memenuhi
6;235;;68,24;Memenuhi
7;160;;142,25;Memenuhi
8;2;;0,3;Memenuhi
9;230;;228,89;Memenuhi
10;60;;73,1;Tidak Memenuhi
11;;;35,1;Memenuhi
12;;;3,4;Memenuhi
13;;;45,6;Memenuhi
14;;;Selatan;Memenuhi
15;;;Cerah;Memenuhi
