parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;104;Memenuhi
2;365;;3.513;Memenuhi
3;10.000;;66;Memenuhi
4;2;;92;Memenuhi
5;24;;26;Memenuhi
6;235;;113;Memenuhi
7;160;;0.01;Memenuhi
8;2;<;10;Memenuhi
9;230;;0.1;Memenuhi
10;60;;70,8;Tidak Memenuhi
11;-;;25,8;Memenuhi
12;-;;1,2;Memenuhi
13;-;;63,5;Memenuhi
14;-;;;
15;-;;;
