parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;59;Memenuhi
2;365;;97;Memenuhi
3;10.000;;1.836;Memenuhi
4;2;<;0.01;Memenuhi
5;24;<;10;Memenuhi
6;235;;92;Memenuhi
7;160;;26;Memenuhi
8;2;;0.1;Memenuhi
9;230;;133;Memenuhi
10;60;;65,5;Tidak Memenuhi
11;-;;36,8;Memenuhi
12;-;;2,1;Memenuhi
13;-;;43;Memenuhi
14;-;;;
15;-;;;
