parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;49;Memenuhi
2;365;;76;Memenuhi
3;10.000;;7.400;Memenuhi
4;2;;0.4;Memenuhi
5;24;;0,1;Memenuhi
6;235;;79;Memenuhi
7;160;;28;Memenuhi
8;2;;0.2;Memenuhi
9;230;;184;Memenuhi
10;60;;65,7;Tidak Memenuhi
11;-;;31,5;Memenuhi
12;-;;0,4;Memenuhi
13;-;;58,8;Memenuhi
14;-;;;
15;-;;;
