parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;42,12;Memenuhi
2;365;;39,47;Memenuhi
3;10000;;3282;Memenuhi
4;2;;0,038;Memenuhi
5;24;;0,89;Memenuhi
6;235;;48,96;Memenuhi
7;160;;112,8;Memenuhi
8;2;< ;0,2;Memenuhi
9;230;;187,48;Memenuhi
10;60;;69,8;Tidak Memenuhi
11;;;33,1;Memenuhi
12;;;1,6;Memenuhi
13;;;55,6;Memenuhi
14;;;Barat;Memenuhi
15;;;Cerah;Memenuhi
