parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;44;Memenuhi
2;365;;90;Memenuhi
3;10.000;;1.971;Memenuhi
4;2;;0.2;Memenuhi
5;24;<;10;Memenuhi
6;235;;68;Memenuhi
7;160;;31;Memenuhi
8;2;;0.2;Memenuhi
9;230;;198;Memenuhi
10;60;;71,5;Tidak Memenuhi
11;-;;35,1;Memenuhi
12;-;;2,3;Memenuhi
13;-;;45,4;Memenuhi
14;-;;;
15;-;;;
