parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;48,08;Memenuhi
2;365;;46,76;Memenuhi
3;10000;;3412;Memenuhi
4;2;;0,05;Memenuhi
5;24;;1,5;Memenuhi
6;235;;54,67;Memenuhi
7;160;;148,23;Memenuhi
8;2;;0,3;Memenuhi
9;230;;228,9;Memenuhi
10;60;;73,7;Tidak Memenuhi
11;;;37,3;Memenuhi
12;;;2,8;Memenuhi
13;;;42,1;Memenuhi
14;;;Selatan;Memenuhi
15;;;Cerah;Memenuhi
