parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;53;Memenuhi
2;365;;109;Memenuhi
3;10.000;;4.088;Memenuhi
4;2;;0.1;Memenuhi
5;24;<;10;Memenuhi
6;235;;57;Memenuhi
7;160;;18;Memenuhi
8;2;;0.01;Memenuhi
9;230;;120;Memenuhi
10;60;;68.8;Tidak Memenuhi
11;-;;32.7;Memenuhi
12;-;;2.2;Memenuhi
13;-;;58.1;Memenuhi
14;-;;;
15;-;;;
