parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;64;Memenuhi
2;365;;94;Memenuhi
3;10.000;;1.444;Memenuhi
4;2;;0.1;Memenuhi
5;24;<;10;Memenuhi
6;235;;15;Memenuhi
7;160;;30;Memenuhi
8;2;;0.1;Memenuhi
9;230;;189;Memenuhi
10;60;;72.3;Tidak Memenuhi
11;-;;34.6;Memenuhi
12;-;;2.1;Memenuhi
13;-;;52.3;Memenuhi
14;-;;;
15;-;;;
