parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;49;Memenuhi
2;365;;87;Memenuhi
3;10.000;;3.465;Memenuhi
4;2;;0.3;Memenuhi
5;24;<;10;Memenuhi
6;235;;22;Memenuhi
7;160;;20;Memenuhi
8;2;;0.1;Memenuhi
9;230;;123;Memenuhi
10;60;;70.7;Tidak Memenuhi
11;-;;33.1;Memenuhi
12;-;;1.5;Memenuhi
13;-;;45.7;Memenuhi
14;-;;;
15;-;;;
