parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;48;Memenuhi
2;365;;81;Memenuhi
3;10.000;;6.048;Memenuhi
4;2;;0.1;Memenuhi
5;24;<;10;Memenuhi
6;235;;21;Memenuhi
7;160;;25;Memenuhi
8;2;;0.2;Memenuhi
9;230;;181;Memenuhi
10;60;;65,9;Tidak Memenuhi
11;-;;25,6;Memenuhi
12;-;;1,7;Memenuhi
13;-;;72,6;Memenuhi
14;-;;;
15;-;;;
