parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;41,12;Memenuhi
2;365;;39,98;Memenuhi
3;10000;;2872;Memenuhi
4;2;;0,044;Memenuhi
5;24;;0,89;Memenuhi
6;235;;52,17;Memenuhi
7;160;;127,85;Memenuhi
8;2;<;0,2;Memenuhi
9;230;;188,68;Memenuhi
10;60;;72,5;Tidak Memenuhi
11;;;37,5;Memenuhi
12;;;2,3;Memenuhi
13;;;42,2;Memenuhi
14;;;Barat;Memenuhi
15;;;Cerah;Memenuhi
