parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;47;Memenuhi
2;365;;80;Memenuhi
3;10.000;;1.987;Memenuhi
4;2;;1;Memenuhi
5;24;<;10;Memenuhi
6;235;;7;Memenuhi
7;160;;35;Memenuhi
8;2;;0.2;Memenuhi
9;230;;190;Memenuhi
10;60;;71.2;Tidak Memenuhi
11;-;;32.9;Memenuhi
12;-;;3.8;Memenuhi
13;-;;51.3;Memenuhi
14;-;;;
15;-;;;
