parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;74;Memenuhi
2;365;;111;Memenuhi
3;10.000;;3.166;Memenuhi
4;2;;0.2;Memenuhi
5;24;<;10;Memenuhi
6;235;;53;Memenuhi
7;160;;28;Memenuhi
8;2;;0.01;Memenuhi
9;230;;139;Memenuhi
10;60;;70.4;Tidak Memenuhi
11;-;;33.5;Memenuhi
12;-;;0.9;Memenuhi
13;-;;53.8;Memenuhi
14;-;;;
15;-;;;
