parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;42,1;Memenuhi
2;365;;39,82;Memenuhi
3;10000;;3890;Memenuhi
4;2;;0,042;Memenuhi
5;24;;1,08;Memenuhi
6;235;;56,98;Memenuhi
7;160;;128,74;Memenuhi
8;2;<;0,2;Memenuhi
9;230;;187,16;Memenuhi
10;60;;70,8;Tidak Memenuhi
11;;;25,8;Memenuhi
12;;;1,2;Memenuhi
13;;;63,5;Memenuhi
14;;;Selatan;Memenuhi
15;;;Berawan;Memenuhi
