parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;108;Memenuhi
2;365;;39;Memenuhi
3;10.000;;2.750;Memenuhi
4;2;;0.1;Memenuhi
5;24;;1;Memenuhi
6;235;;44;Memenuhi
7;160;;28;Memenuhi
8;2;;0.2;Memenuhi
9;230;;142;Memenuhi
10;60;;;
11;-;;;
12;-;;;
13;-;;;
14;-;;;
15;-;;;
