parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;108;Memenuhi
2;365;;36;Memenuhi
3;10.000;;2.540;Memenuhi
4;2;;0.1;Memenuhi
5;24;;1;Memenuhi
6;235;;25;Memenuhi
7;160;;24;Memenuhi
8;2;;0.1;Memenuhi
9;230;;132;Memenuhi
10;;;;
11;;;;
12;;;;
13;;;;
14;;;;
15;;;;
