parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;105;Memenuhi
2;365;;24;Memenuhi
3;10.000;;2.085;Memenuhi
4;2;;0.1;Memenuhi
5;24;;1;Memenuhi
6;235;;43;Memenuhi
7;160;;24;Memenuhi
8;2;;0.1;Memenuhi
9;230;;108;Memenuhi
10;;;;
11;;;;
12;;;;
13;;;;
14;;;;
15;;;;
