parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;51,23;Memenuhi
2;365;;48,8;Memenuhi
3;10000;;3874;Memenuhi
4;2;;0,062;Memenuhi
5;24;;0,98;Memenuhi
6;235;;64,89;Memenuhi
7;160;;145,52;Memenuhi
8;2;;0,2;Memenuhi
9;230;;224,2;Memenuhi
10;60;;70,1;Tidak Memenuhi
11;;;33,7;Memenuhi
12;;;1,4;Memenuhi
13;;;48,6;Memenuhi
14;;;Utara;Memenuhi
15;;;Cerah;Memenuhi
