parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;40,12;Memenuhi
2;365;;38,92;Memenuhi
3;10000;;2980;Memenuhi
4;2;;0,046;Memenuhi
5;24;;0,88;Memenuhi
6;235;;48,7;Memenuhi
7;160;;112,84;Memenuhi
8;2;;, 0,2;Memenuhi
9;230;;179,8;Memenuhi
10;60;;71,2;Tidak Memenuhi
11;;;32,9;Memenuhi
12;;;3,8;Memenuhi
13;;;51,3;Memenuhi
14;;;Timur;Memenuhi
15;;;Cerah;Memenuhi
