parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;56,02;Memenuhi
2;365;;45,75;Memenuhi
3;10000;;4020;Memenuhi
4;2;;0,052;Memenuhi
5;24;;1,23;Memenuhi
6;235;;98,15;Memenuhi
7;160;;134,02;Memenuhi
8;2;;0,3;Memenuhi
9;230;;224,06;Memenuhi
10;60;;68,3;Tidak Memenuhi
11;;;36,5;Memenuhi
12;;;1,9;Memenuhi
13;;;43,2;Memenuhi
14;;;Timur;Memenuhi
15;;;Cerah;Memenuhi
