parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;86;Memenuhi
2;365;;111;Memenuhi
3;10.000;;3.636;Memenuhi
4;2;;0.1;Memenuhi
5;24;<;10;Memenuhi
6;235;;42;Memenuhi
7;160;;31;Memenuhi
8;2;;0.1;Memenuhi
9;230;;168;Memenuhi
10;60;;77.2;Tidak Memenuhi
11;-;;30.5;Memenuhi
12;-;;2.1;Memenuhi
13;-;;58.7;Memenuhi
14;-;;;
15;-;;;
