parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;77;Memenuhi
2;365;;91;Memenuhi
3;10.000;;2.411;Memenuhi
4;2;;0.1;Memenuhi
5;24;<;10;Memenuhi
6;235;;38;Memenuhi
7;160;;26;Memenuhi
8;2;;0.1;Memenuhi
9;230;;150;Memenuhi
10;60;;66.7;Tidak Memenuhi
11;-;;35.2;Memenuhi
12;-;;2;Memenuhi
13;-;;49.9;Memenuhi
14;-;;;
15;-;;;
