parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;62;Memenuhi
2;365;;88;Memenuhi
3;10.000;;1.849;Memenuhi
4;2;;0.1;Memenuhi
5;24;<;10;Memenuhi
6;235;;27;Memenuhi
7;160;;27;Memenuhi
8;2;;0.1;Memenuhi
9;230;;146;Memenuhi
10;60;;70.2;Tidak Memenuhi
11;-;;34.3;Memenuhi
12;-;;1.8;Memenuhi
13;-;;53.1;Memenuhi
14;-;;;
15;-;;;
