parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;49,8;Memenuhi
2;365;;48,22;Memenuhi
3;10000;;4350;Memenuhi
4;2;;0,03;Memenuhi
5;24;;0,89;Memenuhi
6;235;;62,24;Memenuhi
7;160;;134,36;Memenuhi
8;2;<;0,2;Memenuhi
9;230;;212,14;Memenuhi
10;60;;70,2;Tidak Memenuhi
11;;;34,3;Memenuhi
12;;;1,8;Memenuhi
13;;;53,1;Memenuhi
14;;;Timur;Memenuhi
15;;;Cerah;Memenuhi
