parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;44;Memenuhi
2;365;;94;Memenuhi
3;10.000;;1.897;Memenuhi
4;2;<;0.01;Memenuhi
5;24;<;10;Memenuhi
6;235;;2;Memenuhi
7;160;;20;Memenuhi
8;2;;0.1;Memenuhi
9;230;;123;Memenuhi
10;60;;65.5;Tidak Memenuhi
11;-;;35.5;Memenuhi
12;-;;2.2;Memenuhi
13;-;;42.9;Memenuhi
14;-;;;
15;-;;;
