parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;48;Memenuhi
2;365;;88;Memenuhi
3;10.000;;1.926;Memenuhi
4;2;;0.2;Memenuhi
5;24;<;10;Memenuhi
6;235;;88;Memenuhi
7;160;;22;Memenuhi
8;2;;0.01;Memenuhi
9;230;;135;Memenuhi
10;60;;73;Tidak Memenuhi
11;-;;35.7;Memenuhi
12;-;;1.6;Memenuhi
13;-;;44.6;Memenuhi
14;-;;;
15;-;;;
