parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;85;Memenuhi
2;365;;31;Memenuhi
3;10.000;;2.552;Memenuhi
4;2;;0.1;Memenuhi
5;24;;1;Memenuhi
6;235;;59;Memenuhi
7;160;;31;Memenuhi
8;2;;0.2;Memenuhi
9;230;;154;Memenuhi
10;;;;
11;;;;
12;;;;
13;;;;
14;;;;
15;;;;
