parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;96;Memenuhi
2;365;;32;Memenuhi
3;10.000;;1.269;Memenuhi
4;2;;0.1;Memenuhi
5;24;;1;Memenuhi
6;235;;26;Memenuhi
7;160;;16;Memenuhi
8;2;;0.02;Memenuhi
9;230;;97;Memenuhi
10;;;;
11;;;;
12;;;;
13;;;;
14;;;;
15;;;;
