parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;29.07;Memenuhi
2;365;;19.06;Memenuhi
3;10000;;2136;Memenuhi
4;2;;0.044;Memenuhi
5;24;;1.18;Memenuhi
6;235;;22.1;Memenuhi
7;160;;53.26;Memenuhi
8;2;<;0.2;Memenuhi
9;230;;299.32;Tidak Memenuhi
10;60;;65.9;Tidak Memenuhi
11;-;;31.2;Memenuhi
12;-;;0.4;Memenuhi
13;-;;48.9;Memenuhi
14;-;;Tenggara;Memenuhi
15;-;;Cerah;Memenuhi
