parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;180;;40,23;Memenuhi
2;365;;39,87;Memenuhi
3;10000;;2896;Memenuhi
4;2;;0,051;Memenuhi
5;24;;1,32;Memenuhi
6;235;;67,72;Memenuhi
7;160;;118,8;Memenuhi
8;2;<;0,2;Memenuhi
9;230;;156,7;Memenuhi
10;60;;65,7;Tidak Memenuhi
11;;;31,5;Memenuhi
12;;;0,4;Memenuhi
13;;;58,8;Memenuhi
14;;;Barat;Memenuhi
15;;;Cerah;Memenuhi
