parameter;baku_mutu;tandabaca;hasil_uji;keterangan
1;150;;50;Memenuhi
2;365;;88;Memenuhi
3;10.000;;2.734;Memenuhi
4;2;;0.2;Memenuhi
5;24;<;10;Memenuhi
6;235;;19;Memenuhi
7;160;;26;Memenuhi
8;2;;0.2;Memenuhi
9;230;;184;Memenuhi
10;60;;72.5;Tidak Memenuhi
11;-;;37.5;Memenuhi
12;-;;2.3;Memenuhi
13;-;;42.2;Memenuhi
14;-;;;
15;-;;;
